EmployeeID,FirstName,MiddleInitial,LastName,BirthDate,Gender,CityID,HireDate
1,NICOLE,T,FULLER,1981-03-07,F,80,2011-06-20
2,CHRISTINE,W,PALMER,1968-01-25,F,4,2011-04-27
3,PABLO,Y,CLINE,1963-02-09,M,70,2012-03-30
4,DARNELL,O,NIELSEN,1989-02-06,M,39,2014-03-06
5,DESIREE,L,STUART,1963-05-03,F,23,2014-11-16
6,HOLLY,E,COLLINS,1987-01-13,M,65,2013-06-22
7,CHADWICK,P,COOK,1970-05-02,M,39,2016-07-10
8,JULIE,E,DYER,1956-12-13,M,18,2014-10-14
9,DAPHNE,X,KING,1956-05-02,F,39,2013-04-17
10,JEAN,P,VANG,1963-12-30,M,9,2012-07-23
11,SONYA,E,DICKSON,1976-01-14,F,12,2016-08-10
12,LINDSAY,M,CHEN,1951-09-03,F,58,2011-11-03
13,KATINA,Y,MARKS,1963-04-18,M,68,2011-12-12
14,WENDI,G,BUCKLEY,1961-09-05,M,32,2016-07-11
15,KARI,D,FINLEY,1972-02-17,M,92,2014-07-13
16,CHADWICK,U,WALTON,1951-07-07,M,28,2017-02-10
17,SETH,D,FRANCO,1989-08-29,M,80,2010-07-11
18,WARREN,C,BARTLETT,1964-03-09,M,58,2010-02-22
19,BERNARD,L,MOODY,1970-03-22,M,54,2013-11-12
20,SHELBY,P,RIDDLE,1964-06-13,M,14,2013-03-24
21,DEVON,D,BREWER,1966-04-25,M,65,2016-01-24
22,TONIA,O,"MC MILLAN",1952-03-02,F,53,2015-11-25
23,JANET,K,FLOWERS,1979-03-01,F,7,2010-05-12
